,image_name,mean,variance,std,skewness,kurtosis,entropy,contrast,dissimilarity,homogeneity,asm,energy,correlation,label_name,label
0,p (350).jpg,47.95724105834961,1534.028906688778,39.166681078293806,0.591975593947037,-0.14680817104429122,12.115295971175192,54.12175498409977,3.9470057179549913,0.4086383253718929,0.0055986021424047055,0.07482380732363668,0.9823488352930257,pituitary_tumor,3
1,nt_54.jpg,53.239227294921875,1702.933157264255,41.26661068302381,1.525444433780169,3.2568950198447064,12.212517672852554,39.45887735445204,2.3821206886007817,0.6637352420883715,0.07124779237279,0.26692282100410597,0.98842209325003,no_tumor,0
2,gg (178).jpg,43.55171203613281,1860.3866080918815,43.13219920305341,1.1748705486146016,1.526765824368213,11.98129771549366,42.52549382338551,3.1212160591976525,0.5102656484834497,0.01207479131376488,0.10988535531982813,0.9885721773949054,glioma_tumor,1
3,m1(12).jpg,70.57367706298828,2225.436748509237,47.17453495806013,0.8790474516674809,0.8679722385778388,12.25741096945332,36.77550146771039,3.0068034491193747,0.5351947094564362,0.02606349452469997,0.16144192307049607,0.9917366836959083,meningioma_tumor,2
4,m (67).jpg,49.876182556152344,2688.2908749901108,51.848730697965124,0.6958641650313429,-0.46464566453461176,11.865826232327185,34.98883928571428,2.842435176125245,0.5651109991772785,0.03691844554582956,0.19214173296249196,0.9934932909356103,meningioma_tumor,2
5,p (598).jpg,36.94342041015625,1459.3120605908334,38.20094318980663,0.9061509035558928,0.4989717582575466,11.883482126888826,61.34767918297462,3.5518820327788645,0.521988936117588,0.07607923702697673,0.2758246490562015,0.9789832046368632,pituitary_tumor,3
6,gg (206).jpg,44.69603729248047,2427.8695054761483,49.27341580889383,0.9612294418161335,0.30129960916181897,11.842204700024498,31.572105094178127,2.5167831152152633,0.6114809681403935,0.05070248752609054,0.2251721286618096,0.9935008588316132,glioma_tumor,1
7,image(314).jpg,89.75321197509766,5376.068925077503,73.32168113919309,0.6168172456537705,-0.8336891206520329,12.134505897922413,67.56853901663408,4.4271342954990205,0.4450798134930441,0.01729669900755869,0.13151691529061457,0.9937164771164122,no_tumor,0
8,p (26).jpg,55.141475677490234,1618.918739668079,40.23578928849388,0.3761789442462767,-0.20340986161557728,12.156473155718812,59.52265013454009,4.186032289628184,0.41271768076642257,0.008668754754375523,0.09310614777970101,0.9815848575261304,pituitary_tumor,3
9,gg (654).jpg,21.405258178710938,670.1294059453066,25.88685778431416,0.9700465231807718,0.7467506318390842,11.684014474065364,21.309144141389428,1.6667074363992187,0.7312916118314362,0.13137436718037737,0.3624560210292793,0.9841105173504759,glioma_tumor,1
